"","A","M","Time","Event","As","W","I"
"60",NA,0.771,50,0,-1.263,0.942,0
"61",NA,-1.058,36.8,0,0.06,-0.643,0
"62",NA,0.094,7.3,0,-0.403,1.048,0
"63",NA,-0.698,50,0,0.125,-1.752,0
"64",NA,-1.042,4.2,0,0.051,-0.388,0
"65",NA,0.261,50,0,1.259,0.32,0
"66",NA,-0.013,44.9,0,-0.413,0.108,0
"67",NA,-1.357,34.4,0,-0.083,-0.505,0
"68",NA,0.983,5.5,0,0.392,-0.007,0
"69",NA,-1.071,28.8,0,0.787,-0.476,0
"70",NA,0.589,42.4,0,-0.044,0.381,0
"71",NA,-0.12,50,0,-0.472,0.105,0
"72",NA,-0.006,41.5,0,0.29,-1.552,0
"73",NA,-1.113,41.7,0,-0.638,-0.674,0
"74",NA,-0.339,50,0,0.515,-0.467,0
"75",NA,-1.349,50,0,0.366,-0.557,0
"76",NA,0.691,24.4,0,-0.341,-1.478,0
"77",NA,-1.487,9.5,0,-0.322,0.145,0
"78",NA,-0.376,50,0,0.512,-0.702,0
"79",NA,0.794,50,0,0.48,0.707,0
"80",NA,0.578,24.9,0,0.729,-0.346,0
"81",NA,0.032,3.4,0,0.06,0.824,0
"82",NA,-0.162,50,0,-0.583,0.037,0
"83",NA,1.227,47.8,1,-1.45,-0.163,0
"84",NA,0.928,50,0,-0.336,-0.23,0
"85",NA,-0.394,50,0,0.31,-0.48,0
"86",NA,0.844,50,0,-0.341,0.06,0
"87",NA,0.728,43,1,-0.891,0.591,0
"88",NA,0.415,50,0,0.042,0.567,0
"89",NA,0.02,50,0,-1.697,0.408,0
"90",NA,-0.168,5.5,0,-2.232,0.726,0
"91",NA,-0.435,28.2,0,0.044,-0.608,0
"92",NA,0.455,40.9,0,-0.088,-1.036,0
"93",NA,0.215,48.4,0,0.714,-0.113,0
"94",NA,-0.174,43.6,0,-0.158,-0.562,0
"95",NA,-0.145,3.6,0,0.711,-0.198,0
"96",NA,1.171,48.3,1,-0.435,-0.568,0
"97",NA,-0.44,50,0,-0.367,0.537,0
"98",NA,0.087,50,0,-0.685,-0.042,0
"99",NA,-0.393,50,0,-0.727,-1.091,0
"100",NA,1.066,50,0,-0.668,0.299,0
"101",NA,-0.145,31.9,0,0.218,1.651,0
"102",NA,-0.259,5.4,0,-0.217,0.363,0
"103",NA,-0.624,12.2,0,0.073,0.049,0
"104",NA,0.243,40.7,1,0.752,-0.149,0
"105",NA,0.366,50,0,-0.802,-0.162,0
"106",NA,-0.035,22.1,0,0.238,1.357,0
"107",NA,0.699,28.4,0,-0.547,0.198,0
"108",NA,0.048,32.3,1,-1.425,-1.12,0
"109",NA,-0.693,38.3,0,0.237,-0.909,0
"110",NA,0.781,50,0,0.019,0.717,0
"111",NA,0.847,50,0,-0.095,0.713,0
"112",NA,-0.8,50,0,-0.956,0.566,0
"113",NA,-0.196,38.2,0,-0.138,-1.207,0
"114",NA,-0.127,45.2,0,0.164,0.551,0
"115",NA,-0.285,19.2,0,0.81,0.096,0
"116",NA,0.429,30.4,0,-1.259,-1.543,0
"117",NA,0.434,13.9,0,1.003,0.679,0
"118",NA,0.806,50,0,1.304,0.877,0
"119",NA,-0.453,8.7,0,0.086,0.158,0
"120",NA,-0.562,25.7,0,0.781,-0.085,0
"121",NA,-2.07,35.6,0,-0.242,-0.044,0
"122",NA,0.104,50,0,-0.073,-0.519,0
"123",NA,0.687,6.9,0,-0.4,0.226,0
"124",NA,0.366,45.8,1,-0.249,0.746,0
"125",NA,0.219,50,0,0.547,-0.138,0
"126",NA,0.454,10.6,0,0.247,-0.651,0
"127",NA,0.888,16.8,0,0.256,0.201,0
"128",NA,1.061,46.8,0,0.582,0.589,0
"129",NA,0.11,50,0,0.92,-0.11,0
"130",NA,0.236,50,0,-0.48,1.267,0
"131",NA,-0.069,15.2,0,1.973,0.602,0
"132",NA,-1.02,50,0,0.826,-0.748,0
"133",NA,1.308,45.5,0,1.112,0.572,0
"134",NA,1.022,50,0,-0.055,-0.311,0
"135",NA,-0.019,30.6,0,-0.073,0.782,0
"136",NA,-1.559,50,0,-0.448,-0.384,0
"137",NA,0.683,10.4,0,-0.017,-0.036,0
"138",NA,-0.334,49.9,0,-0.076,-0.599,0
"139",NA,-0.741,19,0,-0.048,-0.587,0
"140",NA,-0.543,21.6,0,0.344,0.138,0
"141",NA,-0.107,50,0,1.518,1.189,0
"142",NA,0.545,50,0,0.093,0.819,0
"143",NA,0.974,50,0,0.406,-0.134,0
"144",NA,-0.501,50,0,0.732,-0.26,0
"145",NA,-0.001,0.8,0,-0.003,0.814,0
"146",NA,-0.135,32,0,-0.08,-0.085,0
"147",NA,-0.479,8.9,0,0.327,-1.294,0
"148",NA,-0.548,50,0,-0.396,-0.968,0
"149",NA,1.205,46.8,1,0.821,1.984,0
"150",NA,0.502,12.5,0,0.308,1.903,0
"151",NA,1.178,10.5,0,-0.61,0.303,0
"152",NA,0.465,12.7,0,-0.985,-0.782,0
"153",NA,0.554,14,0,0.206,-0.457,0
"154",NA,1.355,50,0,0.12,-0.272,0
"155",NA,0.332,50,0,0.241,-0.319,0
"156",NA,-1.047,50,0,-0.159,-0.191,0
"157",NA,0.738,50,0,0.232,0.535,0
"158",NA,1.071,19.5,0,2.018,0.276,0
"159",NA,-0.357,50,0,-1.283,-1.397,0
"160",NA,-0.603,50,0,-0.403,0.782,0
"161",NA,0.64,50,0,-0.219,1.489,0
"162",NA,-0.943,1.6,0,-0.052,-1.345,0
"163",NA,-0.52,50,0,0.013,0.444,0
"164",NA,-0.243,50,0,0.169,-0.251,0
"165",NA,-0.171,50,0,-0.754,0.522,0
"166",NA,0.24,12.2,0,-0.322,-1.659,0
"167",NA,-0.517,47.5,0,-0.463,-0.176,0
"168",NA,-0.685,12.4,0,-0.051,-0.422,0
"169",NA,0.031,50,0,1.272,0.433,0
"170",NA,0.224,20.9,0,0.438,0.555,0
"171",NA,1.03,50,0,-0.695,1.112,0
"172",NA,0.856,50,0,0.33,1.017,0
"173",NA,0.445,30.3,1,-0.816,-0.38,0
"174",NA,-1.475,50,0,-0.05,0.321,0
"175",NA,-0.236,44.2,1,0.35,0.188,0
"176",NA,0.417,19.3,0,0.796,0.429,0
"177",NA,0.233,50,0,0.688,1.077,0
"178",NA,1.439,2.5,0,-0.143,-0.537,0
"179",NA,-0.867,50,0,-0.733,-0.375,0
"180",NA,-0.582,32.7,1,-0.61,-0.867,0
"181",NA,0.614,50,0,-0.1,-0.301,0
"182",NA,-0.202,50,0,1.341,0.598,0
"183",NA,-1.51,50,0,1.165,1.026,0
"184",NA,0.165,29.6,0,0.366,0.307,0
"185",NA,0.088,50,0,0.133,0.898,0
"186",NA,-0.179,13.4,0,-1.146,0.6,0
"187",NA,-0.125,50,0,0.448,0.251,0
"188",NA,-0.05,50,0,-0.283,0.047,0
"189",NA,-0.231,50,0,0.246,0.333,0
"190",NA,-0.21,36.2,1,1.456,-0.104,0
"191",NA,-0.326,50,0,-1.097,-1.612,0
"192",NA,-0.838,34.6,0,0.047,1.228,0
"193",NA,-0.548,50,0,0.823,0.983,0
"194",NA,0.584,50,0,-0.429,-0.241,0
"195",NA,1.03,39.3,1,0.551,0.882,0
"196",NA,-0.001,50,0,-0.212,-0.999,0
"197",NA,-0.516,50,0,-0.599,0.176,0
"198",NA,1.383,14.8,0,-0.799,-0.252,0
"199",NA,-0.346,3.2,0,0.542,-0.261,0
"200",NA,0.385,50,0,0.761,-0.385,0
"201",NA,-0.394,8,0,-0.323,-0.557,0
"202",NA,-0.195,22.9,0,-0.388,-1.329,0
"203",NA,-0.198,23.6,0,-1.491,-0.768,0
"204",NA,-0.118,50,0,-0.428,0.136,0
"205",NA,0.079,50,0,0.771,0.147,0
"206",NA,1.026,50,0,0.969,0.813,0
"207",NA,0.192,38.1,0,-0.676,0.834,0
"208",NA,-0.202,50,0,0.698,0.194,0
"209",NA,-0.142,50,0,-0.083,-0.589,0
"210",NA,2.474,50,0,-0.304,0.271,0
"211",NA,-0.242,50,0,0.366,0.276,0
"212",NA,0.231,50,0,-0.489,-0.878,0
"213",NA,0.371,26.4,0,1.015,0.491,0
"214",NA,0.066,50,0,0.1,-1.886,0
"215",NA,1.015,50,0,0.037,-0.019,0
"216",NA,-0.261,50,0,-0.073,-0.023,0
"217",NA,0.752,0.7,0,0.58,0.102,0
"218",NA,-0.681,50,0,-1.095,-0.93,0
"219",NA,0.14,50,0,-0.028,-0.679,0
"220",NA,0.82,0.5,0,-0.509,-0.381,0
"221",NA,-0.251,36.6,0,-0.309,-0.289,0
"222",NA,-0.315,50,0,0.171,-0.21,0
"223",NA,-0.126,50,0,1.409,-1.418,0
"224",NA,-0.96,13.1,0,-0.446,-0.651,0
"225",NA,0.033,38.8,0,-0.187,0.264,0
"226",NA,-0.764,50,0,0.063,-0.461,0
"227",NA,1.059,41.4,0,0.662,1.29,0
"228",NA,0.972,50,0,-0.083,0.452,0
"229",NA,-0.142,50,0,-1.071,0.324,0
"230",NA,0.482,3.4,0,0.832,0.226,0
"231",NA,-0.367,50,0,0.514,0.465,0
"232",NA,0.001,43.3,1,-0.825,1.085,0
"233",NA,0.737,17.7,0,0.053,1.035,0
"234",NA,0.94,50,0,0.539,0.019,0
"235",NA,-0.036,44.3,1,0.157,0.92,0
"236",NA,1.206,49.6,1,0.427,0.142,0
"237",NA,0.671,50,0,-0.648,1.027,0
"238",NA,0.072,50,0,0.339,-0.789,0
"239",NA,2.349,45,1,-0.334,1.048,0
"240",NA,-0.722,41.1,0,-0.294,-0.727,0
"241",NA,1.098,50,0,-0.182,0.836,0
"242",NA,-0.696,50,0,0.572,0.631,0
"243",NA,-0.882,2.2,0,-0.123,-0.912,0
"244",NA,-0.233,5.4,0,-0.628,-0.449,0
"245",NA,-0.339,7.5,0,-0.715,0.507,0
"246",NA,-0.135,27.7,0,-0.436,-1.014,0
"247",NA,-1.203,24.9,0,-0.371,0.557,0
"248",NA,0.681,1.4,0,0.048,-0.272,0
"249",NA,0.584,44.5,0,-0.117,0.114,0
"250",NA,1.177,50,0,0.496,-0.852,0
"251",NA,1.228,50,0,1.288,1.493,0
"252",NA,-0.457,50,0,-0.218,-0.485,0
"253",NA,-0.263,50,0,-1.153,-0.061,0
"254",NA,0.647,43,0,-0.968,-1.11,0
"255",NA,-0.948,50,0,1.246,-0.897,0
"256",NA,-0.229,17.5,0,-0.115,0.276,0
"257",NA,0.616,46.5,0,1.558,1.346,0
"258",NA,-0.252,13.6,0,0.206,-0.047,0
"259",NA,1.012,50,0,0.605,1.333,0
"260",NA,0.357,35.1,0,0.216,0.454,0
"261",NA,-0.298,50,0,-0.226,-1.157,0
"262",NA,-0.086,50,0,0.956,1.611,0
"263",NA,-0.506,27.3,0,-0.206,-0.774,0
"264",NA,-0.208,50,0,0.068,0.061,0
"265",NA,-0.743,22.1,0,-0.204,-0.806,0
"266",NA,0.047,50,0,0.429,-0.331,0
"267",NA,1.057,41.5,1,0.027,0.028,0
"268",NA,0.384,28.1,0,1.182,0.627,0
"269",NA,-0.082,44.5,1,-0.408,0.349,0
"270",NA,-0.579,21.3,0,0.243,-0.911,0
"271",NA,-1.594,41.2,1,2.477,0.066,0
"272",NA,-0.603,50,0,-0.062,-0.062,0
"273",NA,0.372,50,0,-0.27,-1.136,0
"274",NA,0.657,36.6,0,2.155,0.244,0
"275",NA,0.85,50,0,0.855,0.247,0
"276",NA,-0.792,50,0,-0.43,-0.727,0
"277",NA,0.636,50,0,0.121,0.509,0
"278",NA,0.739,50,0,0.439,-0.803,0
"279",NA,-0.245,47.9,1,0.35,1.232,0
"280",NA,0.383,50,0,0.728,0.787,0
"281",NA,-0.058,8.7,0,0.176,-0.138,0
"282",NA,0.615,50,0,0.059,0.066,0
"283",NA,1.044,45.3,1,0.948,1.88,0
"284",NA,0.624,48.3,0,-0.368,1.044,0
"285",NA,-0.094,50,0,0.892,0.826,0
"286",NA,0.281,50,0,0.322,1.253,0
"287",NA,0.247,12.2,0,-0.031,0.296,0
"288",NA,-0.065,50,0,-0.419,-0.555,0
"289",NA,-1.384,5.5,0,1.273,0.066,0
"290",NA,-0.229,50,0,-0.028,-0.262,0
"291",NA,0.049,50,0,-0.627,0.129,0
"292",NA,-0.135,50,0,-0.159,-0.068,0
"293",NA,0.384,50,0,-0.016,-0.526,0
"294",NA,-0.553,50,0,0.57,1.286,0
"295",NA,0.104,50,0,0.392,1.09,0
"296",NA,-0.967,50,0,-0.226,-0.991,0
"297",NA,-1.199,50,0,-0.483,0.56,0
"298",NA,0.451,50,0,-0.469,-0.319,0
"299",NA,1.014,8.1,0,0.151,-1.478,0
"300",NA,0.486,50,0,0.038,-0.775,0
"301",NA,-0.98,27.5,0,0.196,0.365,0
"302",NA,-0.875,50,0,0.552,-0.354,0
"303",NA,-0.366,50,0,-0.804,-0.94,0
"304",NA,-0.132,50,0,0.534,-1.181,0
"305",NA,-0.779,50,0,0.35,-1.129,0
"306",NA,-1.091,50,0,-0.32,0.314,0
"307",NA,2.053,50,0,-0.644,0.435,0
"308",NA,0.094,50,0,0.185,0.734,0
"309",NA,0.453,50,0,0.147,0.738,0
"310",NA,-0.189,46.4,1,1.493,0.764,0
"311",NA,-0.941,50,0,0.226,-0.834,0
"312",NA,-0.333,50,0,0.149,0.405,0
"313",NA,-0.296,44.3,0,-0.159,0.316,0
"314",NA,-1.224,50,0,-0.501,0.482,0
"315",NA,-0.145,19.2,0,0.165,1.304,0
"316",NA,-0.735,50,0,-0.657,-0.168,0
"317",NA,-0.178,50,0,0.74,-0.801,0
"318",NA,-1.066,47.1,1,-0.317,-0.498,0
"319",NA,-0.617,50,0,-1.288,0.119,0
"320",NA,-0.611,50,0,-0.052,0.083,0
"321",NA,-0.211,37.2,0,-0.466,-0.475,0
"322",NA,-0.038,45.7,0,0.185,0.371,0
"323",NA,0.726,50,0,0.754,0.675,0
"324",NA,-0.033,28.6,1,0.022,-0.394,0
"325",NA,-0.36,43.9,1,-0.423,0.516,0
"326",NA,0.263,50,0,-1.782,0,0
"327",NA,0.174,50,0,-0.007,-0.135,0
"328",NA,-0.638,47.4,0,-1.011,0.936,0
"329",NA,0.64,24,0,1.008,1.285,0
"330",NA,0.554,25.1,0,-0.416,-1.608,0
"331",NA,-0.374,43.6,1,-0.377,-0.412,0
"332",NA,0.576,27.5,0,0.458,-0.23,0
"333",NA,1.308,2,0,0.594,0.587,0
"334",NA,-0.33,43.5,1,0.824,-0.046,0
"335",NA,0.066,50,0,0.793,0.059,0
"336",NA,-0.811,50,0,-0.794,-0.387,0
"337",NA,-0.053,15.6,0,0.99,0.733,0
"338",NA,-0.104,50,0,-0.472,-1.074,0
"339",NA,-0.533,23.6,0,0.402,-1.307,0
"340",NA,-0.235,36.1,0,0.441,0.356,0
"341",NA,-1.61,17.1,0,-0.337,-0.107,0
"342",NA,0.58,50,0,-0.231,-0.917,0
"343",NA,0.862,8.6,0,-1.758,-0.49,0
"344",NA,0.834,49.5,1,1.432,-0.731,0
"345",NA,0.241,50,0,-0.415,-0.176,0
"346",NA,0.931,50,0,0.621,0.456,0
"347",NA,0.116,50,0,-0.912,-0.388,0
"348",NA,1.028,33.5,0,0.347,-0.588,0
"349",NA,-0.024,50,0,0.406,0.501,0
"350",NA,0.171,0.1,0,-0.55,0.76,0
"351",NA,-0.554,17.6,0,-1.873,-1.811,0
"352",NA,-1.257,11.9,0,0.669,-1.448,0
"353",NA,-1.506,9.5,0,0.43,-0.596,0
"354",NA,-1.133,50,0,-0.118,-0.058,0
"355",NA,2.344,9.4,0,0.724,0.702,0
"356",NA,0.425,50,0,-0.15,-0.524,0
"357",NA,1.479,41.7,1,0.058,0.433,0
"358",NA,0.326,50,0,-1.352,-0.409,0
"359",NA,-0.161,50,0,0.139,-0.226,0
"360",NA,-0.446,50,0,0.394,-0.442,0
"361",NA,0.825,8.3,0,-0.274,-0.742,0
"362",NA,0.639,50,0,1.189,0.519,0
"363",NA,0.156,22,0,0.41,0.067,0
"364",NA,-0.171,50,0,1.607,-0.472,0
"365",NA,0.891,50,0,0.417,-0.598,0
"366",NA,0.031,4.6,0,0.874,-1.066,0
"367",NA,-0.175,18.5,0,-0.618,-0.008,0
"368",NA,-0.449,47,1,0.182,-0.084,0
"369",NA,0.156,27.4,0,-0.97,-1.157,0
"370",NA,-0.133,50,0,0.084,-1.215,0
"371",NA,-0.494,22,0,0.618,-0.899,0
"372",NA,0.231,39.1,0,-0.374,-0.048,0
"373",NA,0.333,20.9,0,0.886,-0.769,0
"374",NA,0.667,50,0,-0.475,-0.068,0
"375",NA,-1.018,22.3,0,-0.461,-1.442,0
"376",NA,0.265,50,0,0.321,0.257,0
"377",NA,0.151,39.3,0,1.645,0.491,0
"378",NA,-0.877,50,0,-0.334,-0.241,0
"379",NA,0.67,32.3,0,0.041,-1.06,0
"380",NA,0.319,50,0,-0.972,-0.562,0
"381",NA,0.303,50,0,-0.51,-0.506,0
"382",NA,0.496,49.5,1,0.062,0.238,0
"383",NA,1.279,21.3,0,-0.89,0.562,0
"384",NA,0.271,50,0,0.598,0.171,0
"385",NA,-0.658,50,0,-1.146,-0.148,0
"386",NA,-0.262,21.2,0,0.498,0.928,0
"387",NA,0.42,33.5,0,-0.51,-0.343,0
"388",NA,0.176,15.5,0,-0.911,-0.366,0
"389",NA,-0.219,50,0,0.287,0.897,0
"390",NA,-1.195,13.1,0,-0.298,-0.514,0
"391",NA,0.143,50,0,0.828,-0.54,0
"392",NA,-1.249,50,0,0.37,-1.271,0
"393",NA,-0.789,50,0,0.35,1.444,0
"394",NA,-0.191,50,0,-0.921,0.341,0
"395",NA,-0.369,50,0,-0.313,0.186,0
"396",NA,-1.719,12.7,0,-0.773,-0.182,0
"397",NA,-0.422,18,0,0.215,-1.012,0
"398",NA,1.125,6.3,0,0.07,0.436,0
"399",NA,0.381,50,0,0.52,-0.167,0
"400",NA,0.07,50,0,1.542,0.15,0
"401",NA,-0.247,48,1,0.049,-0.465,0
"402",NA,0.64,0.1,0,2.074,1.529,0
"403",NA,-0.651,50,0,1.348,0.127,0
"404",NA,0.968,9.6,0,-0.651,-0.885,0
"405",NA,0.185,5.1,0,-0.29,0.689,0
"406",NA,-0.487,5.1,0,-0.625,0.621,0
"407",NA,0.792,20,0,0.068,-0.512,0
"408",NA,0.802,50,0,-0.644,0.286,0
"409",NA,0.49,50,0,0.388,0.204,0
"410",NA,-0.104,50,0,0.017,0.615,0
"411",NA,-1.311,50,0,0.099,-1.055,0
"412",NA,-0.9,9.9,0,0.153,1.169,0
"413",NA,-0.939,50,0,0.038,-0.142,0
"414",NA,0.237,50,0,0.388,0.487,0
"415",NA,0.035,47.4,1,0.45,-0.338,0
"416",NA,0.377,1.3,0,0.982,0.264,0
"417",NA,0.195,48,1,0.866,-0.065,0
"418",NA,0.025,50,0,-0.125,0.105,0
"419",NA,-0.013,2.4,0,-0.267,0.029,0
"420",NA,0.597,1.5,0,-0.121,0.884,0
"421",NA,-0.381,50,0,-0.21,-0.639,0
"422",NA,-0.561,50,0,0.747,1.766,0
"423",NA,-1.245,50,0,-0.969,-0.768,0
"424",NA,-2.037,50,0,-0.156,-0.203,0
"425",NA,0.649,50,0,0.044,-0.991,0
"426",NA,-0.036,14.8,0,1.128,-1.061,0
"427",NA,0.218,50,0,-0.498,0.401,0
"428",NA,0.465,50,0,0.576,-0.013,0
"429",NA,-0.575,14.3,0,1.275,0.167,0
"430",NA,-0.466,5.6,0,0.839,-0.942,0
"431",NA,-0.447,13.3,0,-0.397,-0.141,0
"432",NA,-0.031,50,0,0.022,0.071,0
"433",NA,-0.231,50,0,-0.578,-1.051,0
"434",NA,-0.901,50,0,-1.777,-0.997,0
"435",NA,0.22,9.6,0,-0.32,-0.761,0
"436",NA,-0.304,50,0,-2.096,1.016,0
"437",NA,0.056,50,0,0.026,0.715,0
"438",NA,0.461,50,0,-0.314,-1.284,0
"439",NA,-0.101,24.2,0,0.445,-0.416,0
"440",NA,-0.75,50,0,0.244,-0.243,0
"441",NA,-1.036,50,0,-0.045,0.378,0
"442",NA,0.21,1,0,-1.09,0.291,0
"443",NA,0.573,50,0,0.055,-1.176,0
"444",NA,-0.77,35.8,0,-0.538,-0.31,0
"445",NA,-0.274,32.3,0,-0.31,-0.033,0
"446",NA,0.14,50,0,-0.098,0.269,0
"447",NA,0.671,50,0,-0.057,0.053,0
"448",NA,0.163,50,0,-0.428,-0.861,0
"449",NA,0.174,50,0,-0.063,-0.256,0
"450",NA,0.052,50,0,0.171,0.957,0
"451",NA,-0.329,50,0,0.057,-0.459,0
"452",NA,1.181,17,0,-0.1,0.182,0
"453",NA,-0.642,1.2,0,-0.619,-0.408,0
"454",NA,0.255,49.4,1,0.282,-1.684,0
"455",NA,0.022,10.8,0,0.527,0.691,0
"456",NA,-0.181,50,0,-0.747,0.484,0
"457",NA,-0.735,21.2,0,-0.391,-0.148,0
"458",NA,-0.538,50,0,0.086,-0.087,0
"459",NA,1.332,9.8,0,-0.749,0.364,0
"460",NA,0.808,50,0,1.605,1.285,0
"461",NA,0.523,50,0,-0.675,-0.353,0
"462",NA,0.229,9.6,0,-0.592,-0.696,0
"463",NA,-0.759,21.5,0,-0.335,-0.996,0
"464",NA,-0.69,50,0,-0.371,-0.729,0
"465",NA,0.578,50,0,0.046,0.329,0
"466",NA,-0.029,50,0,0.121,1.355,0
"467",NA,0.892,50,0,0.302,1.31,0
"468",NA,0.657,27.5,0,-0.78,0.389,0
"469",NA,0.126,50,0,0.324,0.291,0
"470",NA,0.508,50,0,-0.979,-1.346,0
"471",NA,-0.177,50,0,-0.203,0.417,0
"472",NA,-2.365,50,0,-0.346,-0.019,0
"473",NA,-0.298,50,0,0.286,0.395,0
"474",NA,-0.56,43.6,0,0.893,0.194,0
"475",NA,0.566,41.1,0,0.458,-0.49,0
"476",NA,0.767,11,0,0.418,0.401,0
"477",NA,0.955,1.9,0,0.884,0.733,0
"478",NA,0.126,50,0,-0.215,-0.824,0
"479",NA,-0.49,50,0,-0.388,-1.249,0
"480",NA,-1.078,23.4,0,0.192,0.604,0
"481",NA,-0.048,27.6,0,0.83,0.19,0
"482",NA,-0.385,50,0,0.474,-0.53,0
"483",NA,-0.078,50,0,-0.074,-0.102,0
"484",NA,0.668,50,0,0.58,-0.541,0
"485",NA,-0.107,50,0,0.393,-1.069,0
"486",NA,0.275,12.1,0,-0.965,-0.676,0
"487",NA,0.132,32.7,1,-1.011,0.262,0
"488",NA,-1.365,50,0,-1.94,0.522,0
"489",NA,1.02,50,0,0.865,0.511,0
"490",NA,-0.408,50,0,0.374,-1.971,0
"491",NA,0.182,5.8,0,0.318,1.149,0
"492",NA,1.308,11.4,0,0.848,0.412,0
"493",NA,0.129,37.3,1,-0.026,-1.341,0
"494",NA,-0.094,34.3,0,-1.15,-0.026,0
"495",NA,-0.321,50,0,-0.737,-0.66,0
"496",NA,-0.002,15.5,0,1.291,0.477,0
"497",NA,0.151,0.5,0,0.279,0.529,0
"498",NA,-0.136,50,0,0.066,-0.536,0
"499",NA,0.336,13.7,0,-0.627,0.292,0
"500",NA,-0.423,50,0,-0.268,-0.976,0
"501",NA,-0.328,50,0,0.342,0.113,0
"502",NA,-0.13,50,0,0.102,0.217,0
"503",NA,-0.966,50,0,-1.338,-0.524,0
"504",NA,-0.141,10.7,0,-0.096,-0.06,0
"505",NA,-0.477,50,0,-0.276,0.712,0
"506",NA,1.295,50,0,0.815,0.611,0
"507",NA,0.207,50,0,0.374,1.326,0
"508",NA,0.204,47.1,0,0.123,-0.829,0
"509",NA,0.777,50,0,0.108,0.238,0
"510",NA,1.004,50,0,0.307,0.36,0
"511",NA,0.273,50,0,-0.803,-0.257,0
"512",NA,-0.959,50,0,-0.711,0.552,0
"513",NA,-0.364,41.7,0,-1.008,0.69,0
"514",NA,-0.221,50,0,0.267,-0.732,0
"515",NA,0.3,45.7,1,1.687,0.653,0
"516",NA,0.819,50,0,0.304,1.184,0
"517",NA,-0.588,37.2,0,1.317,-0.326,0
"518",NA,-0.214,50,0,-0.697,-0.6,0
"519",NA,0.122,50,0,0.002,0.012,0
"520",NA,-0.556,50,0,0.497,0.584,0
"521",NA,-1.171,50,0,-0.895,-0.575,0
"522",NA,-0.007,50,0,0.912,0.646,0
"523",NA,-0.449,16.1,0,-1.301,0.516,0
"524",NA,-0.655,39.2,0,-0.011,0.838,0
"525",NA,0.592,50,0,0.833,0.639,0
"526",NA,-0.615,30.8,1,-0.016,-2.066,0
"527",NA,0.111,50,0,-0.025,0.466,0
"528",NA,-1.407,50,0,0.442,0.051,0
